marque,modele,annee,kilometrage,carburant,transmission,puissance_cv,nb_portes,couleur,nb_proprietaires,prix
Audi,Q5,2019,108977,Diesel,Manuelle,134,5,Argent,1,26700
BMW,X3,2015,101652,Diesel,Automatique,161,3,Vert,1,21200
Volkswagen,T-Roc,2020,65235,Hybride,Manuelle,121,5,Bleu,1,16300
Citroen,C3 Aircross,2020,80907,Hybride,Automatique,148,5,Vert,1,15400
Peugeot,5008,2018,58811,Essence,Automatique,116,5,Rouge,1,17200
Mercedes,GLC,2017,166640,Diesel,Manuelle,284,5,Gris,1,23900
Audi,A3,2024,100,Diesel,Manuelle,189,5,Argent,1,31200
Peugeot,2008,2020,25408,Essence,Automatique,81,5,Gris,1,15500
Mercedes,GLC,2021,43704,Essence,Automatique,78,5,Argent,2,35400
Audi,A1,2023,15038,Electrique,Automatique,190,5,Bleu,3,32700
Mercedes,Classe A,2021,51283,Essence,Automatique,139,5,Gris,2,23700
Renault,Captur,2018,61448,Hybride,Manuelle,157,5,Bleu,1,12600
Audi,A1,2024,1231,Essence,Manuelle,189,3,Gris,1,23400
Renault,Kadjar,2019,70170,Diesel,Automatique,86,3,Gris,1,15600
Volkswagen,T-Roc,2023,4706,Essence,Manuelle,209,3,Argent,3,21500
Mercedes,Classe A,2018,68266,Hybride,Automatique,110,5,Rouge,1,18100
Peugeot,308,2021,25396,Diesel,Automatique,70,5,Argent,2,16100
Renault,Megane,2019,92057,Essence,Automatique,70,5,Vert,1,13500
BMW,Serie 3,2017,94723,Hybride,Automatique,158,5,Gris,2,23700
Renault,Megane,2022,43330,Diesel,Automatique,70,5,Argent,1,18700
Audi,Q3,2017,149408,Essence,Manuelle,250,5,Noir,2,16700
Peugeot,5008,2017,85254,Essence,Manuelle,118,5,Vert,1,11900
Mercedes,GLC,2017,170042,Hybride,Automatique,188,5,Blanc,1,24400
Audi,A1,2023,20460,Diesel,Manuelle,187,5,Blanc,1,22600
Toyota,C-HR,2016,83019,Essence,Manuelle,95,5,Bleu,1,12100
BMW,Serie 1,2016,141331,Essence,Manuelle,116,5,Rouge,2,12300
Mercedes,GLC,2016,182469,Hybride,Manuelle,185,5,Blanc,2,22000
Citroen,C3 Aircross,2020,68404,Essence,Automatique,161,5,Gris,1,12700
BMW,Serie 1,2019,56384,Diesel,Manuelle,205,5,Bleu,2,15500
Volkswagen,Passat,2022,40174,Diesel,Manuelle,179,5,Blanc,2,23600
Mercedes,GLA,2016,107651,Essence,Automatique,239,5,Rouge,2,17700
Audi,Q5,2015,115247,Diesel,Automatique,87,3,Argent,3,17000
Toyota,Corolla,2020,60203,Electrique,Manuelle,83,5,Blanc,1,17900
Audi,Q5,2017,103814,Essence,Automatique,226,5,Gris,3,24400
Renault,Captur,2023,9510,Essence,Manuelle,85,5,Argent,2,16300
BMW,X3,2023,11475,Essence,Manuelle,241,3,Vert,3,43000
Toyota,Yaris,2024,100,Diesel,Automatique,80,5,Vert,1,19300
Renault,Scenic,2017,87163,Essence,Automatique,110,5,Bleu,1,13000
Audi,Q5,2021,17713,Hybride,Manuelle,157,3,Rouge,2,35800
Toyota,Corolla,2021,68270,Essence,Manuelle,90,5,Argent,2,13000
Citroen,C4,2022,36443,Essence,Automatique,122,5,Argent,1,17400
Renault,Captur,2022,29540,Diesel,Manuelle,88,5,Noir,3,16800
Toyota,Corolla,2023,14555,Essence,Manuelle,98,5,Rouge,1,19900
Peugeot,5008,2020,86387,Hybride,Automatique,134,3,Blanc,2,21900
Audi,Q3,2017,102954,Essence,Automatique,239,5,Blanc,3,18200
Peugeot,5008,2015,159587,Diesel,Automatique,148,5,Bleu,3,13300
Citroen,C5 Aircross,2015,98585,Diesel,Manuelle,94,5,Noir,2,10000
Audi,A4,2023,14949,Essence,Manuelle,115,5,Vert,3,30200
Mercedes,GLC,2023,13773,Diesel,Automatique,98,5,Gris,3,36900
Peugeot,308,2015,114046,Essence,Automatique,146,5,Blanc,2,10000
Volkswagen,T-Roc,2023,18959,Hybride,Manuelle,164,5,Noir,1,32700
BMW,X1,2015,149979,Diesel,Manuelle,71,5,Blanc,2,12600
Renault,Kadjar,2020,53705,Hybride,Manuelle,88,5,Blanc,2,17700
Mercedes,Classe A,2024,1291,Diesel,Manuelle,152,5,Noir,4,30000
Audi,A3,2015,126937,Hybride,Manuelle,236,5,Noir,1,15500
Citroen,C4,2018,55716,Essence,Manuelle,117,5,Gris,1,10600
Toyota,Corolla,2018,110762,Diesel,Automatique,148,5,Argent,1,13400
Renault,Captur,2022,16802,Essence,Automatique,161,3,Gris,3,18500
Audi,A3,2015,139191,Essence,Automatique,182,5,Noir,1,13700
Volkswagen,T-Roc,2016,96809,Diesel,Automatique,167,5,Rouge,2,13500
Citroen,C4,2020,49646,Essence,Automatique,105,3,Rouge,3,14400
Citroen,C3,2019,83438,Essence,Automatique,149,5,Vert,2,9300
Toyota,Corolla,2015,150140,Hybride,Manuelle,72,5,Vert,2,8500
Peugeot,308,2018,43846,Diesel,Automatique,133,5,Blanc,2,16100
BMW,X1,2015,125015,Diesel,Manuelle,70,5,Bleu,1,13300
Mercedes,Classe C,2015,157407,Essence,Manuelle,190,5,Blanc,1,15200
Toyota,Yaris,2016,60798,Hybride,Manuelle,115,5,Noir,2,7800
Toyota,Corolla,2021,37969,Hybride,Automatique,134,5,Argent,3,17600
Mercedes,GLC,2016,227313,Diesel,Manuelle,179,5,Vert,2,16700
Volkswagen,Golf,2023,12167,Diesel,Automatique,76,5,Vert,2,24100
Renault,Megane,2017,49916,Diesel,Manuelle,99,3,Argent,2,12000
Peugeot,5008,2021,60661,Essence,Automatique,70,5,Noir,1,20900
Volkswagen,T-Roc,2018,32134,Diesel,Automatique,219,5,Bleu,1,18400
Volkswagen,Tiguan,2022,33964,Hybride,Automatique,156,5,Bleu,2,30200
Audi,Q3,2017,144734,Essence,Automatique,162,5,Argent,1,14900
Audi,A4,2020,68007,Essence,Manuelle,122,5,Rouge,2,24500
Toyota,Yaris,2017,82843,Essence,Manuelle,143,5,Gris,1,8500
Mercedes,Classe C,2024,2306,Essence,Manuelle,149,5,Gris,2,41200
Mercedes,GLC,2024,100,Diesel,Automatique,197,5,Noir,1,58600
Toyota,C-HR,2023,21258,Diesel,Manuelle,70,5,Bleu,1,19900
Volkswagen,Passat,2020,76920,Essence,Manuelle,131,5,Noir,2,23400
BMW,Serie 1,2020,71240,Essence,Automatique,174,3,Rouge,2,24100
Toyota,Yaris,2021,13110,Essence,Manuelle,95,5,Argent,3,12400
Peugeot,308,2024,100,Diesel,Manuelle,154,5,Blanc,3,21400
Peugeot,208,2019,71816,Diesel,Automatique,72,3,Bleu,1,9600
Mercedes,GLC,2015,150672,Hybride,Manuelle,143,5,Vert,1,25000
Audi,A1,2022,19902,Essence,Manuelle,126,5,Noir,2,19600
Volkswagen,Golf,2016,169903,Essence,Automatique,144,3,Argent,3,10800
Audi,Q5,2019,87742,Essence,Manuelle,175,5,Bleu,2,29100
Mercedes,GLA,2018,89962,Essence,Automatique,175,5,Rouge,2,21000
Mercedes,GLC,2021,44120,Electrique,Automatique,150,3,Noir,3,48400
Audi,A1,2023,19537,Essence,Automatique,125,5,Bleu,2,23800
Mercedes,GLC,2023,16207,Hybride,Manuelle,104,5,Bleu,3,41400
Audi,Q3,2023,6220,Diesel,Automatique,202,5,Blanc,1,40600
Renault,Kadjar,2023,11469,Essence,Automatique,87,5,Noir,1,21300
Citroen,C3 Aircross,2022,40200,Essence,Automatique,83,5,Blanc,2,16200
Mercedes,Classe C,2015,186982,Essence,Manuelle,177,5,Blanc,2,15100
Audi,A1,2018,86448,Diesel,Automatique,219,5,Bleu,1,17800
Mercedes,Classe A,2022,37389,Essence,Manuelle,137,5,Rouge,3,20600
BMW,Serie 1,2016,118196,Hybride,Automatique,170,5,Vert,4,14100
Peugeot,208,2021,46443,Hybride,Automatique,80,5,Rouge,1,15600
Renault,Scenic,2024,100,Diesel,Manuelle,105,5,Noir,1,29200
Mercedes,Classe C,2023,15672,Diesel,Automatique,180,5,Argent,3,43800
Toyota,RAV4,2019,35642,Essence,Manuelle,86,5,Vert,1,18600
Toyota,C-HR,2018,71802,Essence,Automatique,105,5,Vert,3,13600
Toyota,Corolla,2017,93858,Essence,Manuelle,142,5,Rouge,4,11200
Mercedes,Classe A,2021,26353,Electrique,Automatique,305,5,Gris,1,39700
Toyota,Corolla,2024,100,Essence,Manuelle,84,5,Bleu,3,17300
BMW,X1,2017,146242,Essence,Automatique,152,5,Vert,2,15500
Peugeot,2008,2016,155342,Essence,Manuelle,116,5,Bleu,2,9300
Mercedes,Classe A,2023,17922,Electrique,Manuelle,194,5,Vert,1,31800
Toyota,Corolla,2021,41446,Essence,Manuelle,70,5,Argent,3,14600
Mercedes,Classe C,2016,199192,Electrique,Manuelle,237,5,Vert,2,23800
Peugeot,308,2020,89438,Hybride,Manuelle,121,5,Gris,1,15000
Volkswagen,Passat,2015,178206,Essence,Manuelle,113,5,Noir,1,11100
Toyota,C-HR,2019,82139,Electrique,Automatique,75,5,Rouge,3,16300
BMW,Serie 1,2020,40833,Essence,Automatique,179,5,Gris,3,21500
BMW,X1,2021,49805,Electrique,Automatique,188,5,Noir,1,34000
Audi,Q5,2017,34047,Diesel,Automatique,277,5,Vert,1,32400
Mercedes,Classe A,2016,102468,Diesel,Automatique,159,5,Vert,1,13400
BMW,Serie 3,2016,132613,Diesel,Manuelle,259,5,Noir,2,19800
Mercedes,Classe C,2020,22048,Essence,Manuelle,189,5,Noir,2,27400
Renault,Captur,2019,98302,Hybride,Automatique,97,5,Vert,3,11700
Toyota,C-HR,2024,804,Electrique,Automatique,102,5,Rouge,3,27400
Renault,Megane,2015,160144,Diesel,Manuelle,106,3,Gris,1,9100
BMW,X3,2024,100,Diesel,Automatique,110,5,Blanc,1,53300
Audi,A1,2017,33994,Diesel,Automatique,130,5,Argent,2,15000
Audi,A1,2019,83578,Electrique,Automatique,235,5,Noir,1,23200
Citroen,C4,2023,14797,Diesel,Manuelle,126,3,Noir,2,20900
Peugeot,208,2023,15044,Diesel,Manuelle,95,3,Vert,1,14800
Toyota,RAV4,2020,60134,Hybride,Manuelle,142,5,Noir,2,20400
Renault,Captur,2022,41919,Essence,Manuelle,135,5,Noir,2,15300
Renault,Scenic,2017,50538,Hybride,Manuelle,142,5,Bleu,3,15700
Audi,Q3,2015,131831,Essence,Automatique,211,5,Argent,2,14000
Toyota,Corolla,2015,162626,Essence,Automatique,70,5,Noir,1,9700
Citroen,C3,2017,45839,Hybride,Manuelle,70,5,Rouge,3,8000
Volkswagen,Passat,2015,99991,Hybride,Manuelle,158,5,Rouge,1,19400
BMW,X3,2018,98483,Essence,Manuelle,116,5,Bleu,2,21700
Mercedes,Classe A,2020,51068,Diesel,Manuelle,87,5,Argent,2,17900
Renault,Captur,2024,2382,Hybride,Manuelle,113,5,Bleu,2,22500
BMW,X1,2017,74493,Diesel,Automatique,156,5,Argent,3,21500
Toyota,Corolla,2023,16465,Essence,Manuelle,79,5,Gris,2,19600
Citroen,C4,2024,1302,Hybride,Automatique,89,5,Bleu,1,23400
Audi,Q3,2016,105179,Electrique,Automatique,154,3,Bleu,3,17200
Peugeot,208,2023,14576,Essence,Automatique,93,3,Blanc,2,16400
Mercedes,GLC,2016,84724,Diesel,Manuelle,188,5,Noir,2,22400
Mercedes,GLA,2020,28225,Essence,Automatique,160,5,Blanc,3,28400
Renault,Kadjar,2016,132804,Essence,Automatique,112,5,Argent,1,11300
Mercedes,Classe A,2022,33533,Diesel,Manuelle,187,5,Gris,2,28600
Peugeot,5008,2021,36873,Hybride,Manuelle,108,5,Rouge,2,25300
Toyota,Yaris,2015,63859,Hybride,Automatique,89,5,Argent,3,5900
Toyota,C-HR,2015,36503,Diesel,Automatique,103,5,Gris,2,12100
Volkswagen,Golf,2015,61559,Electrique,Manuelle,141,5,Argent,3,12900
Audi,A3,2023,16769,Hybride,Manuelle,163,5,Gris,3,27600
Citroen,C4,2017,64653,Diesel,Manuelle,72,5,Rouge,4,10100
Volkswagen,Passat,2016,118028,Essence,Manuelle,146,5,Noir,1,13300
Citroen,C5 Aircross,2020,57864,Essence,Automatique,78,5,Vert,3,15500
Peugeot,5008,2017,152000,Essence,Manuelle,133,5,Rouge,3,13200
Toyota,C-HR,2024,100,Essence,Manuelle,146,5,Gris,3,26200
Volkswagen,Golf,2022,35080,Essence,Automatique,149,5,Vert,2,19800
BMW,Serie 3,2019,76744,Diesel,Manuelle,186,5,Bleu,2,23600
Toyota,RAV4,2020,44832,Hybride,Manuelle,139,5,Rouge,3,21800
Volkswagen,Polo,2023,16779,Essence,Automatique,166,5,Rouge,3,17400
Toyota,RAV4,2022,25605,Diesel,Manuelle,105,5,Vert,4,22100
Audi,Q3,2023,17515,Electrique,Automatique,166,5,Noir,3,37600
Renault,Megane,2021,36498,Essence,Manuelle,106,5,Vert,2,13600
Renault,Scenic,2015,43779,Essence,Manuelle,150,5,Noir,2,11400
BMW,Serie 1,2021,81027,Electrique,Automatique,211,5,Noir,1,34100
Toyota,C-HR,2024,100,Essence,Automatique,98,3,Gris,2,26300
Peugeot,2008,2018,63245,Diesel,Manuelle,100,5,Argent,2,11400
BMW,X1,2015,140370,Electrique,Automatique,246,5,Vert,1,20700
Peugeot,2008,2024,100,Essence,Manuelle,116,5,Gris,3,18200
Peugeot,308,2019,104011,Electrique,Manuelle,98,3,Gris,1,14500
Citroen,C3 Aircross,2015,141743,Essence,Manuelle,84,5,Noir,1,6400
Volkswagen,Golf,2018,81399,Electrique,Automatique,134,5,Gris,2,19700
Citroen,C3,2016,118053,Diesel,Automatique,113,5,Rouge,2,7500
Audi,Q3,2021,52389,Electrique,Automatique,220,3,Vert,1,36200
Volkswagen,Tiguan,2022,31800,Essence,Manuelle,145,3,Gris,1,25100
BMW,Serie 3,2017,114412,Essence,Automatique,156,3,Argent,1,27000
Renault,Captur,2022,44059,Hybride,Automatique,84,5,Bleu,1,18300
Citroen,C5 Aircross,2022,27110,Electrique,Automatique,85,5,Noir,3,23600
Toyota,RAV4,2018,124283,Hybride,Manuelle,70,5,Noir,1,14100
Audi,Q3,2021,31997,Diesel,Manuelle,246,5,Gris,2,24000
Mercedes,Classe C,2024,3004,Diesel,Automatique,184,5,Gris,2,44200
Audi,Q5,2024,415,Essence,Manuelle,166,3,Bleu,2,40600
Mercedes,Classe C,2015,134820,Diesel,Manuelle,225,3,Argent,1,18700
Audi,Q3,2016,211819,Diesel,Manuelle,231,5,Rouge,2,14300
Citroen,C3,2018,95637,Hybride,Manuelle,108,3,Gris,4,8600
Mercedes,Classe A,2020,46179,Hybride,Manuelle,165,5,Blanc,1,27200
Audi,Q5,2022,37302,Hybride,Automatique,268,5,Blanc,3,48800
Toyota,Yaris,2019,60247,Diesel,Automatique,90,5,Noir,2,10400
Renault,Captur,2024,5347,Diesel,Manuelle,88,5,Bleu,3,19900
Volkswagen,T-Roc,2018,122917,Diesel,Manuelle,195,3,Bleu,1,14200
Citroen,C3 Aircross,2021,21126,Electrique,Automatique,108,5,Rouge,2,18200
Peugeot,3008,2022,42924,Diesel,Manuelle,131,5,Gris,1,23200
Toyota,RAV4,2023,19844,Hybride,Manuelle,102,5,Bleu,3,29200
BMW,Serie 1,2024,100,Hybride,Manuelle,174,5,Argent,1,37200
Volkswagen,Polo,2017,89871,Diesel,Manuelle,112,5,Vert,1,9800
Renault,Megane,2023,21083,Essence,Automatique,98,5,Blanc,1,16900
Peugeot,208,2024,100,Essence,Manuelle,115,5,Vert,1,15700
Citroen,C3,2020,86099,Electrique,Manuelle,112,5,Vert,1,10400
BMW,Serie 3,2021,29232,Essence,Manuelle,224,5,Noir,2,29200
Audi,A3,2015,170348,Hybride,Automatique,181,3,Argent,2,15900
Audi,A4,2017,185867,Essence,Manuelle,212,5,Vert,1,17400
Renault,Kadjar,2024,2364,Essence,Manuelle,103,3,Noir,3,24300
BMW,X1,2015,138270,Essence,Automatique,135,5,Blanc,3,12200
Mercedes,GLA,2016,123053,Hybride,Automatique,208,5,Rouge,4,19500
Volkswagen,Tiguan,2017,95280,Hybride,Manuelle,128,5,Blanc,1,16300
BMW,X1,2021,61903,Electrique,Automatique,192,5,Blanc,2,26800
Citroen,C4,2016,156846,Essence,Manuelle,79,3,Vert,1,7300
Mercedes,Classe C,2018,58577,Diesel,Manuelle,248,5,Rouge,1,25700
Peugeot,3008,2015,143500,Electrique,Manuelle,141,5,Blanc,3,11300
BMW,X3,2024,5193,Diesel,Manuelle,207,5,Gris,1,49600
Mercedes,Classe A,2017,83446,Essence,Automatique,230,5,Bleu,1,21700
Renault,Clio,2016,149157,Essence,Automatique,86,3,Argent,2,7300
Renault,Clio,2024,100,Diesel,Automatique,131,5,Noir,3,18200
Citroen,C5 Aircross,2024,4826,Hybride,Manuelle,107,5,Rouge,1,28000
Volkswagen,Golf,2020,66140,Diesel,Manuelle,79,5,Argent,2,15700
Peugeot,308,2021,36718,Diesel,Manuelle,128,3,Argent,1,20800
Citroen,C3,2016,163787,Essence,Automatique,96,5,Bleu,1,6000
BMW,Serie 3,2015,175392,Essence,Automatique,276,5,Argent,2,20600
Audi,A1,2015,267740,Diesel,Manuelle,128,5,Noir,1,9700
Mercedes,Classe C,2024,3673,Essence,Automatique,209,5,Bleu,1,41700
BMW,Serie 3,2015,108296,Essence,Manuelle,178,5,Noir,3,12300
Citroen,C3 Aircross,2023,14973,Essence,Manuelle,137,5,Argent,2,17900
Renault,Megane,2020,46085,Electrique,Automatique,70,5,Bleu,2,16800
Toyota,Yaris,2016,117104,Essence,Automatique,127,5,Noir,4,7900
Toyota,Yaris,2017,46574,Diesel,Manuelle,146,5,Vert,2,8900
Toyota,Yaris,2015,120729,Essence,Automatique,123,5,Rouge,3,6500
BMW,X3,2020,86254,Essence,Manuelle,219,3,Blanc,2,25300
Renault,Kadjar,2018,103303,Diesel,Automatique,85,5,Vert,1,12500
Mercedes,GLA,2015,104079,Essence,Manuelle,70,5,Vert,4,10500
Audi,Q5,2016,75947,Essence,Automatique,201,5,Noir,3,23300
Peugeot,308,2016,119003,Essence,Automatique,132,5,Bleu,3,9600
BMW,Serie 1,2016,84715,Diesel,Manuelle,265,5,Noir,1,17700
Renault,Captur,2024,100,Diesel,Automatique,70,5,Gris,1,19300
Mercedes,Classe A,2023,18397,Essence,Automatique,85,5,Noir,1,28700
Renault,Kadjar,2017,160121,Essence,Manuelle,104,5,Argent,3,8400
Volkswagen,Passat,2023,21142,Essence,Automatique,214,5,Rouge,3,31100
Mercedes,Classe C,2016,79768,Essence,Automatique,93,5,Bleu,2,22300
Citroen,C3 Aircross,2020,71919,Hybride,Manuelle,120,5,Gris,2,14300
BMW,X1,2018,112004,Diesel,Manuelle,195,5,Rouge,2,18100
Volkswagen,Tiguan,2023,24078,Essence,Manuelle,103,5,Rouge,1,24300
Volkswagen,Passat,2016,41243,Hybride,Automatique,128,5,Blanc,3,18300
BMW,Serie 1,2016,132163,Essence,Manuelle,195,5,Blanc,2,14100
Citroen,C3,2017,163775,Electrique,Automatique,81,3,Argent,2,7900
Renault,Kadjar,2023,9430,Diesel,Manuelle,83,5,Blanc,1,25900
Mercedes,Classe A,2023,16001,Hybride,Automatique,246,5,Bleu,2,35700
Renault,Megane,2017,137385,Essence,Automatique,70,5,Rouge,1,8300
Mercedes,Classe A,2021,31826,Essence,Automatique,137,5,Rouge,1,23300
Toyota,RAV4,2017,97760,Hybride,Manuelle,122,5,Vert,1,18300
BMW,X3,2015,109976,Diesel,Manuelle,159,5,Gris,2,19600
BMW,Serie 3,2023,22192,Hybride,Manuelle,242,5,Gris,2,39300
BMW,Serie 3,2016,118391,Diesel,Manuelle,163,5,Argent,2,17400
Mercedes,GLA,2017,54437,Electrique,Manuelle,171,5,Bleu,2,23400
Volkswagen,Golf,2017,54634,Essence,Manuelle,147,3,Bleu,1,13600
Toyota,Corolla,2016,71259,Electrique,Manuelle,92,5,Blanc,1,11600
Audi,Q5,2021,33773,Essence,Automatique,201,5,Vert,1,36200
Peugeot,5008,2021,60858,Diesel,Manuelle,104,5,Gris,3,19200
Peugeot,308,2022,22030,Diesel,Automatique,119,5,Rouge,3,20700
Citroen,C3,2019,59082,Electrique,Automatique,86,5,Blanc,1,12100
Citroen,C3,2019,68641,Hybride,Manuelle,70,5,Noir,1,9300
Peugeot,3008,2021,72325,Diesel,Manuelle,85,5,Gris,3,18900
Citroen,C3,2024,100,Electrique,Automatique,110,5,Bleu,1,17600
Citroen,C3,2018,42093,Diesel,Automatique,90,5,Rouge,3,10600
Citroen,C3 Aircross,2018,99296,Electrique,Automatique,81,5,Argent,3,12200
Citroen,C4,2019,56412,Essence,Automatique,71,5,Argent,1,12500
Volkswagen,T-Roc,2019,82554,Electrique,Automatique,120,5,Argent,1,18600
Toyota,Yaris,2024,100,Diesel,Manuelle,70,5,Gris,2,16500
BMW,Serie 3,2023,20608,Electrique,Manuelle,89,3,Gris,2,35900
Mercedes,Classe C,2015,152238,Electrique,Manuelle,165,5,Bleu,4,19800
Peugeot,5008,2023,9353,Diesel,Manuelle,96,5,Vert,3,25400
Peugeot,3008,2016,126693,Diesel,Automatique,112,5,Blanc,2,14500
Audi,A1,2022,37166,Essence,Manuelle,117,5,Blanc,2,19500
Citroen,C3,2016,84909,Diesel,Manuelle,138,3,Argent,2,6500
Renault,Captur,2021,47208,Essence,Manuelle,99,5,Bleu,2,14600
BMW,X1,2020,71443,Essence,Automatique,202,5,Rouge,1,26100
Toyota,Corolla,2021,64450,Essence,Manuelle,155,5,Gris,1,17300
Renault,Captur,2018,95124,Essence,Automatique,80,5,Bleu,2,11400
Toyota,Corolla,2015,104420,Hybride,Manuelle,119,5,Gris,2,9500
Toyota,Yaris,2015,134931,Diesel,Automatique,105,5,Noir,3,6400
Peugeot,308,2016,93188,Electrique,Manuelle,165,3,Argent,2,11500
BMW,X3,2019,84839,Essence,Manuelle,213,5,Rouge,2,33100
Citroen,C5 Aircross,2017,59616,Diesel,Manuelle,108,5,Bleu,1,15300
Renault,Kadjar,2024,6286,Essence,Automatique,115,5,Bleu,1,24000
Mercedes,Classe C,2022,22337,Essence,Manuelle,199,5,Gris,1,37300
Renault,Kadjar,2024,4501,Hybride,Automatique,127,5,Bleu,2,31100
Citroen,C3 Aircross,2019,75354,Diesel,Manuelle,101,5,Bleu,1,11300
Citroen,C4,2015,153808,Essence,Automatique,142,5,Gris,2,9100
Renault,Clio,2019,25938,Diesel,Automatique,70,3,Bleu,1,9900
Toyota,RAV4,2015,143530,Electrique,Automatique,83,5,Rouge,1,16100
Toyota,Yaris,2022,24008,Electrique,Manuelle,90,5,Vert,1,17300
Peugeot,208,2015,107941,Diesel,Automatique,107,5,Noir,1,8200
Peugeot,208,2017,143652,Diesel,Automatique,81,5,Noir,1,8400
Mercedes,Classe A,2017,97205,Diesel,Manuelle,199,5,Blanc,1,17500
BMW,X3,2024,100,Electrique,Automatique,188,5,Blanc,2,58700
Toyota,Yaris,2015,66043,Diesel,Automatique,112,5,Vert,2,7300
Volkswagen,T-Roc,2022,27067,Hybride,Manuelle,144,5,Argent,1,24200
Volkswagen,Passat,2018,71276,Hybride,Automatique,136,5,Noir,3,24800
Renault,Clio,2020,62636,Essence,Manuelle,83,5,Noir,2,10500
Renault,Megane,2023,18852,Hybride,Automatique,70,5,Argent,2,22900
Audi,Q3,2015,157762,Essence,Automatique,246,5,Blanc,2,14100
Peugeot,5008,2021,37346,Diesel,Automatique,114,5,Rouge,1,23400
Peugeot,5008,2020,68913,Essence,Manuelle,88,3,Argent,2,19200
Audi,A4,2015,175154,Diesel,Manuelle,162,5,Rouge,1,15500
BMW,Serie 1,2020,73208,Diesel,Automatique,239,5,Argent,4,21400
Peugeot,3008,2024,2238,Essence,Manuelle,153,5,Argent,3,32400
Citroen,C3 Aircross,2015,202999,Diesel,Automatique,79,5,Rouge,2,7200
Volkswagen,Polo,2018,74101,Essence,Automatique,174,5,Argent,3,11500
Citroen,C3 Aircross,2023,13525,Essence,Manuelle,117,5,Gris,1,17500
Audi,Q5,2016,147765,Diesel,Manuelle,215,5,Bleu,2,21800
Audi,Q3,2019,80901,Electrique,Manuelle,150,3,Noir,2,23900
Renault,Kadjar,2023,30965,Diesel,Automatique,146,3,Rouge,1,27800
Volkswagen,Passat,2023,16207,Hybride,Automatique,93,5,Argent,1,40000
Audi,Q5,2024,100,Diesel,Automatique,216,5,Bleu,3,50900
Volkswagen,T-Roc,2020,100561,Essence,Manuelle,144,5,Blanc,1,15300
BMW,Serie 3,2021,31932,Essence,Automatique,278,5,Rouge,1,34800
Volkswagen,Tiguan,2016,110904,Essence,Manuelle,145,5,Blanc,2,14500
Mercedes,Classe C,2020,82256,Electrique,Manuelle,135,5,Noir,3,28800
BMW,Serie 3,2019,67443,Diesel,Automatique,228,5,Noir,2,27500
Citroen,C4,2022,37669,Hybride,Manuelle,142,5,Gris,2,18300
Peugeot,308,2021,36212,Essence,Manuelle,70,5,Noir,2,15800
Volkswagen,Polo,2021,67054,Hybride,Manuelle,173,3,Bleu,1,15600
Renault,Kadjar,2020,56755,Diesel,Automatique,95,5,Argent,1,16000
Renault,Captur,2021,46839,Diesel,Automatique,108,5,Gris,2,16500
Citroen,C3 Aircross,2021,47843,Essence,Manuelle,136,3,Gris,2,13500
Citroen,C3 Aircross,2015,183227,Hybride,Manuelle,175,3,Vert,2,8000
Audi,Q3,2021,37419,Hybride,Automatique,95,5,Vert,1,30300
Toyota,Yaris,2020,101684,Essence,Manuelle,73,5,Noir,2,10000
Audi,A4,2020,101774,Hybride,Manuelle,141,5,Rouge,1,24200
Mercedes,Classe A,2024,100,Essence,Manuelle,168,5,Blanc,2,32700
Mercedes,Classe C,2019,88568,Essence,Manuelle,213,5,Argent,2,27500
Mercedes,Classe A,2020,66327,Diesel,Automatique,111,5,Noir,1,23600
BMW,Serie 3,2024,100,Essence,Automatique,193,3,Argent,2,40700
Toyota,RAV4,2017,36664,Essence,Automatique,138,5,Vert,3,15100
Volkswagen,Golf,2023,8304,Hybride,Manuelle,188,5,Noir,1,30100
Renault,Scenic,2023,14679,Essence,Automatique,114,5,Noir,1,25700
Mercedes,GLA,2015,146750,Essence,Automatique,228,5,Argent,1,18200
Toyota,Yaris,2020,104277,Essence,Automatique,109,5,Blanc,1,10400
Mercedes,Classe C,2016,106697,Essence,Manuelle,264,5,Noir,2,20900
Mercedes,GLA,2015,170280,Hybride,Manuelle,70,5,Bleu,1,15800
Toyota,RAV4,2018,100923,Diesel,Automatique,171,5,Noir,3,16800
Renault,Captur,2018,48822,Diesel,Automatique,118,3,Argent,2,12200
Citroen,C4,2021,57267,Diesel,Automatique,87,5,Blanc,3,15500
Citroen,C4,2023,29588,Diesel,Automatique,97,5,Rouge,2,17300
Peugeot,308,2024,100,Diesel,Automatique,99,5,Vert,1,22900
Citroen,C4,2018,75011,Hybride,Manuelle,150,5,Noir,2,12800
Renault,Clio,2015,64310,Essence,Automatique,70,5,Noir,1,6400
Citroen,C3 Aircross,2021,26955,Essence,Automatique,87,5,Rouge,1,14900
Volkswagen,Golf,2020,24184,Essence,Manuelle,179,5,Gris,2,16400
Citroen,C3 Aircross,2015,129223,Diesel,Manuelle,84,5,Rouge,3,6800
Volkswagen,Polo,2018,97543,Electrique,Automatique,122,5,Noir,2,12400
Peugeot,2008,2020,59738,Essence,Manuelle,70,5,Argent,2,12300
Peugeot,2008,2015,184514,Hybride,Manuelle,78,5,Gris,3,8400
Volkswagen,Tiguan,2016,91683,Electrique,Manuelle,131,5,Rouge,1,16800
Mercedes,GLA,2024,100,Diesel,Manuelle,178,3,Rouge,2,43100
Audi,A3,2017,64825,Essence,Manuelle,222,5,Rouge,2,17300
Peugeot,308,2019,90853,Diesel,Automatique,89,5,Vert,1,15200
